# p14_a1_post, p14_a10_post, p14_a1_prior, p14_a10_post
5.069428682327270508e-01,5.257681608200073242e-01,5.333333611488342285e-01,5.333333611488342285e-01
5.019372105598449707e-01,5.345675945281982422e-01,5.112867951393127441e-01,4.463903903961181641e-01
4.960649609565734863e-01,4.985694885253906250e-01,4.871187210083007812e-01,1.231372803449630737e-01
4.914990663528442383e-01,4.579206109046936035e-01,9.354632347822189331e-02,1.506951898336410522e-01
4.729703664779663086e-01,4.041740596294403076e-01,3.558858036994934082e-01,1.735130250453948975e-01
4.594887197017669678e-01,3.779336512088775635e-01,1.752884984016418457e-01,1.880252957344055176e-01
4.330841004848480225e-01,3.543148040771484375e-01,6.551711261272430420e-02,1.269946098327636719e-01
3.507178425788879395e-01,3.409036695957183838e-01,4.318424463272094727e-01,8.371067047119140625e-02
3.289345800876617432e-01,3.199286460876464844e-01,7.538428902626037598e-01,3.851117193698883057e-02
3.261269032955169678e-01,2.823528051376342773e-01,8.587940931320190430e-01,2.101826854050159454e-02
2.853063642978668213e-01,2.784836888313293457e-01,4.592526257038116455e-01,2.069880999624729156e-02
2.803410887718200684e-01,2.788203060626983643e-01,4.773536920547485352e-01,1.819318532943725586e-02
2.457847893238067627e-01,2.644692063331604004e-01,2.103912532329559326e-01,1.019313838332891464e-02
2.354092299938201904e-01,2.126521170139312744e-01,2.715474963188171387e-01,9.297785162925720215e-02
2.289506345987319946e-01,2.094836086034774780e-01,1.203477457165718079e-01,2.154305018484592438e-02
2.280374616384506226e-01,1.896709948778152466e-01,5.259433984756469727e-01,1.429662946611642838e-02
2.308085560798645020e-01,2.053491771221160889e-01,7.975951433181762695e-01,1.257762219756841660e-02
2.130500674247741699e-01,2.018269002437591553e-01,1.131448224186897278e-01,5.919603630900382996e-03
1.726908534765243530e-01,1.937408149242401123e-01,4.486946016550064087e-02,1.184623874723911285e-02
2.022652179002761841e-01,1.969844102859497070e-01,1.898686401546001434e-02,1.137541010975837708e-01
1.918373554944992065e-01,1.857741177082061768e-01,2.289183996617794037e-02,2.444884330034255981e-01
1.806229352951049805e-01,1.875713169574737549e-01,2.232041507959365845e-01,9.003291279077529907e-02
1.898422837257385254e-01,1.771309375762939453e-01,2.396036982536315918e-01,9.780301153659820557e-02
1.867066025733947754e-01,1.664932221174240112e-01,5.672048330307006836e-01,3.216995298862457275e-02
1.680037081241607666e-01,1.599737107753753662e-01,5.937525629997253418e-02,9.346103295683860779e-03
1.680450141429901123e-01,1.584652662277221680e-01,2.532143294811248779e-01,3.153581917285919189e-02
1.605588048696517944e-01,1.499021947383880615e-01,1.984922885894775391e-01,5.854620411992073059e-02
1.377844363451004028e-01,1.320712268352508545e-01,5.081370472908020020e-01,4.381690174341201782e-02
1.564856916666030884e-01,1.478037983179092407e-01,3.399572670459747314e-01,2.195527590811252594e-02
1.606065332889556885e-01,1.463884115219116211e-01,2.956376969814300537e-01,9.661191701889038086e-02
1.606065332889556885e-01,1.552415639162063599e-01,6.121649146080017090e-01,1.050628721714019775e-01
1.503188908100128174e-01,1.536113172769546509e-01,5.391332507133483887e-01,4.145703837275505066e-02
1.276759505271911621e-01,1.438931971788406372e-01,6.423448324203491211e-01,6.686427444219589233e-02
1.342833936214447021e-01,1.482633799314498901e-01,5.605889558792114258e-01,3.257578006014227867e-03
1.449380815029144287e-01,1.448907256126403809e-01,2.021870017051696777e-01,7.762762717902660370e-03
1.318031102418899536e-01,1.340139210224151611e-01,3.987438604235649109e-02,2.001406624913215637e-02
1.350000202655792236e-01,1.269328594207763672e-01,6.858296394348144531e-01,5.473839584738016129e-03
1.618964672088623047e-01,1.269328594207763672e-01,3.083374500274658203e-01,4.017333686351776123e-02
1.637206673622131348e-01,1.239534914493560791e-01,6.829196214675903320e-01,1.275817155838012695e-01
1.540260016918182373e-01,1.122857853770256042e-01,5.286055207252502441e-01,4.588601738214492798e-02
1.468050032854080200e-01,1.110125333070755005e-01,4.563739299774169922e-01,2.569201216101646423e-02
1.398121714591979980e-01,1.097097992897033691e-01,6.251850724220275879e-02,6.811001803725957870e-03
1.336005330085754395e-01,1.084199249744415283e-01,4.508807957172393799e-01,1.945893093943595886e-02
1.265075057744979858e-01,1.054988205432891846e-01,5.358241796493530273e-01,2.946417406201362610e-02
1.258516311645507812e-01,1.054988205432891846e-01,1.330696642398834229e-01,5.030688270926475525e-02
1.402026265859603882e-01,1.023576706647872925e-01,7.234971225261688232e-02,8.254259824752807617e-02
1.405470669269561768e-01,1.146533042192459106e-01,1.831213012337684631e-02,1.219975799322128296e-01
1.404781937599182129e-01,1.065620854496955872e-01,2.135507762432098389e-02,7.991559058427810669e-02
1.404781937599182129e-01,1.084619015455245972e-01,1.680215075612068176e-02,1.213109400123357773e-02
1.370455324649810791e-01,1.028786301612854004e-01,1.663737557828426361e-02,4.039608314633369446e-02
1.362409740686416626e-01,9.492124617099761963e-02,5.399092100560665131e-03,6.686027161777019501e-03
1.362409740686416626e-01,1.006819680333137512e-01,1.360394060611724854e-02,1.012934148311614990e-01
1.294466853141784668e-01,1.249782070517539978e-01,7.207298278808593750e-02,1.805729568004608154e-01
1.184877604246139526e-01,1.265121102333068848e-01,1.961533129215240479e-01,1.397964823991060257e-02
1.183017268776893616e-01,1.316120326519012451e-01,2.095238715410232544e-01,3.750815754756331444e-03
1.183017268776893616e-01,1.284641623497009277e-01,2.573918104171752930e-01,9.291896596550941467e-03
1.236304640769958496e-01,1.299591958522796631e-01,1.383875459432601929e-01,1.193052809685468674e-02
1.254752874374389648e-01,1.275943964719772339e-01,8.388313651084899902e-02,2.077742246910929680e-03
1.158833056688308716e-01,1.178560480475425720e-01,6.816165521740913391e-03,1.713706995360553265e-03
1.092043071985244751e-01,1.178560480475425720e-01,1.242088899016380310e-02,6.702254177071154118e-04
1.089559942483901978e-01,1.182728186249732971e-01,3.457185346633195877e-03,4.102389211766421795e-04
1.047211512923240662e-01,1.257978081703186035e-01,2.207973413169384003e-02,3.459334257058799267e-04
1.061151027679443359e-01,1.214321553707122803e-01,4.177501832600682974e-04,5.637124646455049515e-03
9.987077116966247559e-02,1.264576315879821777e-01,5.681559559889137745e-04,3.961612284183502197e-02
1.012985110282897949e-01,1.318730562925338745e-01,1.101475092582404613e-03,5.667702760547399521e-03
