# r,w_mean,copy
8.312698602676391602e-01,1.456187513284385204e+01,1.000000000000000000e+00
5.260705351829528809e-01,1.449901205860078335e+01,1.000000000000000000e+00
3.597149848937988281e-01,1.393745753727853298e+01,1.000000000000000000e+00
2.697529494762420654e-01,1.394526050612330437e+01,1.000000000000000000e+00
2.509490847587585449e-01,1.343809042498469353e+01,1.000000000000000000e+00
2.473098635673522949e-01,1.266255390364676714e+01,1.000000000000000000e+00
2.551675140857696533e-01,1.142679564002901316e+01,1.000000000000000000e+00
2.949028611183166504e-01,1.077290447521954775e+01,1.000000000000000000e+00
2.682899534702301025e-01,1.060424391739070415e+01,1.000000000000000000e+00
3.006784915924072266e-01,9.487471708096563816e+00,1.000000000000000000e+00
2.885039448738098145e-01,8.563424403779208660e+00,1.000000000000000000e+00
2.904743552207946777e-01,8.638297237455844879e+00,1.000000000000000000e+00
2.671951055526733398e-01,8.662045273929834366e+00,1.000000000000000000e+00
2.807647883892059326e-01,8.207053781487047672e+00,1.000000000000000000e+00
2.859371602535247803e-01,8.264505093917250633e+00,1.000000000000000000e+00
2.647588849067687988e-01,8.420507296454161406e+00,1.000000000000000000e+00
2.639975547790527344e-01,8.767738999798893929e+00,1.000000000000000000e+00
2.729275226593017578e-01,8.547977963462471962e+00,1.000000000000000000e+00
2.755177617073059082e-01,8.638109226711094379e+00,1.000000000000000000e+00
2.530295848846435547e-01,8.256814978551119566e+00,1.000000000000000000e+00
3.046982288360595703e-01,7.850838773883879185e+00,1.000000000000000000e+00
2.866466939449310303e-01,7.579375577624887228e+00,1.000000000000000000e+00
2.705072164535522461e-01,7.658491335809230804e+00,1.000000000000000000e+00
2.705072164535522461e-01,7.658491335809230804e+00,1.000000000000000000e+00
2.875967025756835938e-01,7.921625809278339148e+00,1.000000000000000000e+00
2.563293576240539551e-01,7.770670130616053939e+00,1.000000000000000000e+00
2.881718575954437256e-01,7.691312407609075308e+00,1.000000000000000000e+00
2.947684824466705322e-01,7.313151827547699213e+00,1.000000000000000000e+00
2.723777294158935547e-01,7.265507955569773912e+00,1.000000000000000000e+00
2.761747837066650391e-01,7.378992128185927868e+00,1.000000000000000000e+00
2.996827363967895508e-01,7.052319597452878952e+00,1.000000000000000000e+00
2.805135548114776611e-01,6.971241653198376298e+00,1.000000000000000000e+00
2.822037637233734131e-01,6.755753522738814354e+00,1.000000000000000000e+00
2.756306827068328857e-01,6.964138412382453680e+00,1.000000000000000000e+00
2.869088053703308105e-01,6.653767740819603205e+00,1.000000000000000000e+00
2.735148072242736816e-01,6.781772195594385266e+00,1.000000000000000000e+00
2.859267294406890869e-01,6.830218194518238306e+00,1.000000000000000000e+00
2.774989604949951172e-01,6.762836341047659516e+00,1.000000000000000000e+00
2.942931950092315674e-01,6.976893543032929301e+00,1.000000000000000000e+00
2.852852642536163330e-01,7.418783726636320353e+00,1.000000000000000000e+00
2.972366511821746826e-01,7.167591703357174993e+00,1.000000000000000000e+00
2.876676321029663086e-01,7.087155340239405632e+00,1.000000000000000000e+00
2.692497670650482178e-01,6.696113363606855273e+00,1.000000000000000000e+00
2.832388877868652344e-01,6.753117329441010952e+00,1.000000000000000000e+00
2.890908718109130859e-01,6.917634670156985521e+00,1.000000000000000000e+00
2.784093618392944336e-01,6.873970483662560582e+00,1.000000000000000000e+00
2.791109979152679443e-01,6.762062334222719073e+00,1.000000000000000000e+00
2.814192175865173340e-01,6.743897864362224936e+00,1.000000000000000000e+00
2.814192175865173340e-01,6.743897864362224936e+00,1.000000000000000000e+00
2.702305614948272705e-01,6.640342092607170343e+00,1.000000000000000000e+00
2.685984075069427490e-01,6.769707300933077931e+00,1.000000000000000000e+00
2.849265933036804199e-01,6.887817651731893420e+00,1.000000000000000000e+00
2.723591625690460205e-01,6.913237399654462934e+00,1.000000000000000000e+00
2.892037332057952881e-01,6.636877212207764387e+00,1.000000000000000000e+00
2.844263613224029541e-01,6.915046977810561657e+00,1.000000000000000000e+00
2.819103002548217773e-01,6.859759446000680327e+00,1.000000000000000000e+00
2.741350531578063965e-01,6.982446264708414674e+00,1.000000000000000000e+00
2.770134806632995605e-01,6.695109972497448325e+00,1.000000000000000000e+00
2.854857146739959717e-01,6.411553017329424620e+00,1.000000000000000000e+00
2.810710370540618896e-01,6.568334125680848956e+00,1.000000000000000000e+00
2.920404672622680664e-01,6.826756917405873537e+00,1.000000000000000000e+00
2.788324952125549316e-01,6.754235528642311692e+00,1.000000000000000000e+00
2.788324952125549316e-01,6.754235528642311692e+00,1.000000000000000000e+00
2.815251946449279785e-01,6.846838205819949508e+00,1.000000000000000000e+00
2.835459411144256592e-01,6.631352408556267619e+00,1.000000000000000000e+00
2.790682911872863770e-01,6.719283062499016523e+00,1.000000000000000000e+00
2.786953747272491455e-01,6.867469263495877385e+00,1.000000000000000000e+00
2.932680845260620117e-01,6.800111600430682302e+00,1.000000000000000000e+00
2.932680845260620117e-01,6.800111600430682302e+00,1.000000000000000000e+00
2.768389880657196045e-01,6.752673993818461895e+00,1.000000000000000000e+00
3.001386523246765137e-01,6.694415806792676449e+00,1.000000000000000000e+00
2.838486433029174805e-01,6.545935888076201081e+00,1.000000000000000000e+00
2.638579308986663818e-01,6.648990846471861005e+00,1.000000000000000000e+00
2.657525837421417236e-01,6.689119429094716907e+00,1.000000000000000000e+00
2.657525837421417236e-01,6.689119429094716907e+00,1.000000000000000000e+00
2.588515579700469971e-01,6.844289799453690648e+00,1.000000000000000000e+00
2.557917833328247070e-01,6.795472707599401474e+00,1.000000000000000000e+00
2.866816520690917969e-01,6.696952014928683639e+00,1.000000000000000000e+00
2.685306966304779053e-01,6.594230096088722348e+00,1.000000000000000000e+00
2.861249446868896484e-01,6.586276957765221596e+00,1.000000000000000000e+00
3.045855164527893066e-01,6.269185443874448538e+00,1.000000000000000000e+00
2.912916541099548340e-01,6.413156154099851847e+00,1.000000000000000000e+00
2.886959910392761230e-01,6.362088851863518357e+00,1.000000000000000000e+00
3.087943196296691895e-01,6.285840125638060272e+00,1.000000000000000000e+00
2.825910449028015137e-01,6.116749176289886236e+00,1.000000000000000000e+00
2.609874606132507324e-01,6.367758198291994631e+00,1.000000000000000000e+00
3.010020256042480469e-01,5.951807539095170796e+00,1.000000000000000000e+00
2.723655998706817627e-01,5.949479296337813139e+00,1.000000000000000000e+00
2.920697331428527832e-01,5.760393192875199020e+00,1.000000000000000000e+00
2.915929555892944336e-01,5.705626143026165664e+00,1.000000000000000000e+00
2.677388191223144531e-01,5.677351072547025979e+00,1.000000000000000000e+00
