# r,w_mean,copy
7.684933543205261230e-01,1.429587281309068203e+01,1.000000000000000000e+00
4.849839806556701660e-01,1.383318034373223782e+01,1.000000000000000000e+00
2.881960868835449219e-01,1.337156196776777506e+01,1.000000000000000000e+00
3.040280342102050781e-01,1.281959483027458191e+01,1.000000000000000000e+00
2.992426455020904541e-01,1.255590870603919029e+01,1.000000000000000000e+00
2.739996314048767090e-01,1.211573023721575737e+01,1.000000000000000000e+00
2.964427173137664795e-01,1.152496618311852217e+01,1.000000000000000000e+00
3.284707665443420410e-01,1.125160684157162905e+01,1.000000000000000000e+00
3.133786916732788086e-01,1.093290333263576031e+01,1.000000000000000000e+00
3.584478795528411865e-01,1.066633879672735929e+01,1.000000000000000000e+00
3.092870116233825684e-01,9.297975520137697458e+00,1.000000000000000000e+00
3.192996084690093994e-01,9.332667647395282984e+00,1.000000000000000000e+00
2.983385920524597168e-01,8.682836204301565886e+00,1.000000000000000000e+00
3.069987297058105469e-01,7.963876887224614620e+00,1.000000000000000000e+00
3.377816677093505859e-01,7.911432634107768536e+00,1.000000000000000000e+00
2.926582396030426025e-01,8.015811820980161428e+00,1.000000000000000000e+00
3.145181238651275635e-01,8.110886794980615377e+00,1.000000000000000000e+00
3.513669967651367188e-01,8.184978416422381997e+00,1.000000000000000000e+00
3.088606297969818115e-01,8.248545490670949221e+00,1.000000000000000000e+00
3.003882467746734619e-01,7.845012519275769591e+00,1.000000000000000000e+00
2.982164025306701660e-01,7.615675257518887520e+00,1.000000000000000000e+00
2.942055165767669678e-01,7.827687877928838134e+00,1.000000000000000000e+00
2.960053384304046631e-01,7.824802907649427652e+00,1.000000000000000000e+00
2.901598811149597168e-01,7.851802742341533303e+00,1.000000000000000000e+00
2.901598811149597168e-01,7.851802742341533303e+00,1.000000000000000000e+00
3.118273019790649414e-01,7.903264267835766077e+00,1.000000000000000000e+00
2.946915924549102783e-01,7.724756387295201421e+00,1.000000000000000000e+00
3.126543164253234863e-01,7.409098878270015121e+00,1.000000000000000000e+00
3.201856613159179688e-01,7.337792136589996517e+00,1.000000000000000000e+00
2.765805423259735107e-01,7.020052662584930658e+00,1.000000000000000000e+00
2.803875207901000977e-01,7.377259705448523164e+00,1.000000000000000000e+00
3.207609951496124268e-01,7.570581848849542439e+00,1.000000000000000000e+00
3.185834884643554688e-01,7.426136129768565297e+00,1.000000000000000000e+00
3.003571331501007080e-01,7.453632955672219396e+00,1.000000000000000000e+00
2.984471619129180908e-01,7.460893830982968211e+00,1.000000000000000000e+00
2.936943471431732178e-01,7.189984566415660083e+00,1.000000000000000000e+00
3.152073919773101807e-01,6.975733192404732108e+00,1.000000000000000000e+00
3.321327865123748779e-01,7.269298495026305318e+00,1.000000000000000000e+00
3.040016889572143555e-01,7.151274327712599188e+00,1.000000000000000000e+00
2.930059432983398438e-01,7.181558425188995898e+00,1.000000000000000000e+00
2.921850979328155518e-01,7.224065439426340163e+00,1.000000000000000000e+00
2.975612580776214600e-01,7.067713773343712091e+00,1.000000000000000000e+00
3.045093715190887451e-01,7.104488780372776091e+00,1.000000000000000000e+00
2.923476099967956543e-01,7.164101342787034810e+00,1.000000000000000000e+00
2.975115180015563965e-01,7.022392992163076997e+00,1.000000000000000000e+00
3.417818844318389893e-01,7.099548089317977428e+00,1.000000000000000000e+00
3.417818844318389893e-01,7.099548089317977428e+00,1.000000000000000000e+00
3.054392337799072266e-01,6.715239373734220862e+00,1.000000000000000000e+00
3.046410977840423584e-01,6.511857209319714457e+00,1.000000000000000000e+00
3.142162561416625977e-01,6.543537582445424050e+00,1.000000000000000000e+00
3.253891468048095703e-01,6.530248083290643990e+00,1.000000000000000000e+00
3.073974549770355225e-01,6.538480170071125031e+00,1.000000000000000000e+00
3.092116117477416992e-01,6.750950128596741706e+00,1.000000000000000000e+00
3.034625947475433350e-01,6.880883158533833921e+00,1.000000000000000000e+00
2.945691645145416260e-01,6.967442757624667138e+00,1.000000000000000000e+00
3.246200680732727051e-01,6.884972210682462901e+00,1.000000000000000000e+00
