# Men.Mean, Men.Lower, Men.Upper, Women.Mean, Women.Lower, Women.Upper
7.371096406131982803e-03,2.049914422968868220e-04,3.253125939518212995e-02,9.948146762326359749e-04,2.532911689741013174e-05,4.913401405792671567e-03
1.730743050575256348e-01,8.491551727056503851e-02,2.686354316771029649e-01,4.671911150217056274e-02,6.361517100594937454e-03,1.207468716427683719e-01
1.380976736545562744e-01,5.226436303928494453e-02,2.254591021686792318e-01,8.447100222110748291e-02,1.285292459651827743e-02,1.580809537321329061e-01
1.005796641111373901e-01,4.002616414800286293e-02,1.947423804551360327e-01,3.102975785732269287e-01,1.674904108047485241e-01,4.532097898423671500e-01
6.405181437730789185e-02,1.015915228053927352e-02,1.315864786505699380e-01,1.550791561603546143e-01,6.001811735332012593e-02,2.753777816891666008e-01
5.821352824568748474e-02,1.880969055928290168e-02,1.187565291300415327e-01,9.331195056438446045e-02,3.870860002934932431e-02,1.772510923445224651e-01
7.434390485286712646e-02,7.760147855151444674e-03,1.494199875742196482e-01,4.584252834320068359e-02,1.350459554232657025e-02,9.319529831409452403e-02
8.740796893835067749e-02,2.538552484475076199e-02,1.834777858108280757e-01,3.327899798750877380e-02,5.180930974893272270e-03,7.166505511850115862e-02
4.123304411768913269e-02,1.229658855590969394e-02,8.114462606608863204e-02,1.216190494596958160e-02,1.981261064065620216e-03,3.443567994982003888e-02
4.284737631678581238e-02,6.142085988540202206e-03,8.286822959780693054e-02,2.159655839204788208e-02,3.295581147540360689e-03,4.730367735028263854e-02
6.816785037517547607e-02,2.117906231433153152e-02,1.259310148656367367e-01,3.795097023248672485e-02,1.020546723157167435e-02,8.201599083840840909e-02
3.124925680458545685e-02,1.034397103358060052e-02,6.772706825286149701e-02,4.523344337940216064e-02,1.174307039473205735e-02,8.921208065003156940e-02
1.713741384446620941e-02,4.111030395142734398e-03,4.132980369031428319e-02,4.959264025092124939e-02,1.590391290374100139e-02,1.013809757307171100e-01
1.738798432052135468e-02,4.125289258081466653e-03,4.504806967452164301e-02,1.750759035348892212e-02,4.926071909721940756e-03,4.258482456207274280e-02
1.272891648113727570e-02,2.345659892307594072e-03,2.734792795963585099e-02,1.016846764832735062e-02,1.474775376846082552e-03,3.376301098614927637e-02
1.107386033982038498e-02,2.367319323820993131e-03,3.344999598339197522e-02,3.621458075940608978e-03,2.115289507855777764e-05,1.558389565907417756e-02
8.090402930974960327e-03,8.699329657247290449e-04,2.849990348331629675e-02,1.054450403898954391e-03,6.669536492154293906e-06,4.718400840647517074e-03
1.316141802817583084e-02,4.288386390544474298e-03,3.537179473787543937e-02,5.816537304781377316e-04,3.780968409046181207e-05,1.913766711368224648e-03
1.105155423283576965e-02,3.425096150021999901e-03,2.706965291872619195e-02,1.262803911231458187e-03,7.062345011945580522e-05,5.246766435448066423e-03
5.862656980752944946e-03,1.458393741631880576e-03,1.574219665490090431e-02,2.220482565462589264e-03,3.576164570404216756e-04,9.379960736259816689e-03
3.268360160291194916e-03,1.727201422909274806e-04,1.272312125656753327e-02,2.463677199557423592e-03,3.208931637345812781e-04,7.331215857993808246e-03
1.323016243986785412e-03,9.999249741667881066e-05,4.953311418648806766e-03,2.664775587618350983e-03,4.470236235647462308e-04,6.986608216539022878e-03
1.060134614817798138e-03,1.463323973439401070e-04,3.591384674655273904e-03,4.120228346437215805e-03,7.855197909520938993e-04,1.003068585414438642e-02
1.145919901318848133e-03,4.813377972823218442e-05,6.408466503489756647e-03,4.530362319201231003e-03,8.114092313917353316e-04,1.649026987142857698e-02
1.124323112890124321e-03,1.777263773874438038e-05,5.181184329558156942e-03,3.639589063823223114e-03,4.189711245999206291e-04,1.711885659024119100e-02
1.330423168838024139e-03,4.350491562945534864e-05,4.726950020994989329e-03,1.720906235277652740e-03,4.732563204015605585e-04,4.060126119293271281e-03
2.774006919935345650e-03,7.495892677980008924e-05,1.196740607265382728e-02,2.667157910764217377e-03,1.258838663488859419e-04,6.924795638769862607e-03
2.981306053698062897e-03,4.833069055166560940e-04,9.579947707243255395e-03,2.820346737280488014e-03,6.420101228286512630e-04,8.912554034031926198e-03
1.740235486067831516e-03,2.187306534324307103e-04,8.591019082814451563e-03,1.889778417535126209e-03,3.094529070949647792e-04,5.833917355630545074e-03
1.207427194458432496e-04,3.380278303666273132e-05,3.510884431307201032e-04,5.355806206353008747e-04,5.360503328120103648e-05,4.038455325644462607e-03
